ID,Query,Object Type,View Type,Length
632,show loan where customer loan_amount is 200000,customer,table,46
633,list loan and related loan filtered by in-progress,loan,table,50
634,show loan with related customer,customer,table,31
635,show loan where loan status is 500000,loan,table,37
636,list loan and related task filtered by pending,loan,table,46
637,show loan with related loan,loan,table,27
638,show loan where task emi_amount is 1000000,loan,table,42
639,list loan and related branch filtered by approved,loan,table,49
640,show loan with related task,loan,table,27
641,show loan where branch customer_id is 50000,customer,table,43
642,list loan and related lead filtered by rejected,lead,table,47
643,show loan with related branch,loan,table,29
644,show loan where lead branch is 100000,lead,table,37
645,list loan and related account filtered by open,account,chart,46
646,show loan with related lead,lead,table,27
647,show loan where account loan_id is 200000,account,chart,41
648,list loan and related customer filtered by closed,customer,table,49
649,show loan with related account,account,chart,30
650,show loan where customer loan_amount is 500000,customer,table,46
651,list loan and related loan filtered by in-progress,loan,table,50
652,show loan with related customer,customer,table,31
653,show loan where loan status is 1000000,loan,table,38
654,list loan and related task filtered by pending,loan,table,46
655,show loan with related loan,loan,table,27
656,show loan where task emi_amount is 50000,loan,table,40
657,list loan and related branch filtered by approved,loan,table,49
658,show loan with related task,loan,table,27
659,show loan where branch customer_id is 100000,customer,table,44
660,list loan and related lead filtered by rejected,lead,table,47
661,show loan with related branch,loan,table,29
662,show loan where lead branch is 200000,lead,table,37
663,list loan and related account filtered by open,account,chart,46
664,show loan with related lead,lead,table,27
665,show loan where account loan_id is 500000,account,chart,41
666,list loan and related customer filtered by closed,customer,table,49
667,show loan with related account,account,chart,30
668,show loan where customer loan_amount is 1000000,customer,table,47
669,list loan and related loan filtered by in-progress,loan,table,50
670,show sum of amount in loan,loan,chart,26
671,show count of balance for loan yesterday,loan,chart,40
672,calculate total loan_amount across all loan,loan,chart,43
673,show loan grouped by customer_type with min of emi_amount,customer,chart,57
674,show count of balance in loan,loan,chart,29
675,show average of loan_amount for loan last week,loan,chart,46
676,calculate total emi_amount across all loan,loan,chart,42
677,show loan grouped by status with max of premium_amount,loan,chart,54
678,show average of loan_amount in loan,loan,chart,35
679,show min of emi_amount for loan last month,loan,table,42
680,calculate total premium_amount across all loan,loan,chart,46
681,show loan grouped by branch with sum of amount,loan,chart,46
682,show min of emi_amount in loan,loan,table,30
683,show max of premium_amount for loan last 3 months,loan,table,49
684,calculate total amount across all loan,loan,chart,38
685,show loan grouped by manager with count of balance,loan,chart,50
686,show max of premium_amount in loan,loan,table,34
687,show sum of amount for loan this quarter,loan,chart,40
688,calculate total balance across all loan,loan,chart,39
689,show loan grouped by product with average of loan_amount,loan,chart,56
690,show sum of amount in loan,loan,chart,26
691,show count of balance for loan this year,loan,chart,40
692,calculate total loan_amount across all loan,loan,chart,43
693,show loan grouped by customer_type with min of emi_amount,customer,chart,57
694,show count of balance in loan,loan,chart,29
695,show average of loan_amount for loan today,loan,chart,42
696,calculate total emi_amount across all loan,loan,chart,42
697,show loan grouped by status with max of premium_amount,loan,chart,54
698,show average of loan_amount in loan,loan,chart,35
699,show min of emi_amount for loan yesterday,loan,table,41
700,calculate total premium_amount across all loan,loan,chart,46
701,show loan grouped by branch with sum of amount,loan,chart,46
702,show min of emi_amount in loan,loan,table,30
703,show max of premium_amount for loan last week,loan,table,45
704,calculate total amount across all loan,loan,chart,38
705,show loan grouped by manager with count of balance,loan,chart,50
706,show max of premium_amount in loan,loan,table,34
707,show sum of amount for loan last month,loan,chart,38
708,calculate total balance across all loan,loan,chart,39
709,show loan grouped by product with average of loan_amount,loan,chart,56
710,show sum of amount in loan,loan,chart,26
711,show count of balance for loan last 3 months,loan,chart,44
712,calculate total loan_amount across all loan,loan,chart,43
713,show loan grouped by customer_type with min of emi_amount,customer,chart,57
714,show count of balance in loan,loan,chart,29
715,show average of loan_amount for loan this quarter,loan,chart,49
716,calculate total emi_amount across all loan,loan,chart,42
717,show loan grouped by status with max of premium_amount,loan,chart,54
718,show average of loan_amount in loan,loan,chart,35
719,show min of emi_amount for loan this year,loan,table,41
720,calculate total premium_amount across all loan,loan,chart,46
721,show loan grouped by branch with sum of amount,loan,chart,46
722,show min of emi_amount in loan,loan,table,30
723,show max of premium_amount for loan today,loan,table,41
724,calculate total amount across all loan,loan,chart,38
725,show loan grouped by manager with count of balance,loan,chart,50
726,show max of premium_amount in loan,loan,table,34
727,show sum of loan amount for customers grouped by branch,customer,chart,55
728,total loan amount for customers who have accounts greater than 100000,account,chart,69
729,sum of account balance for customers having loans,account,chart,49
730,show branch wise min of emi amount,branch,summary,34
731,show count of loan amount for customers grouped by branch,customer,chart,57
732,total loan amount for customers who have accounts greater than 200000,account,chart,69
733,sum of account balance for customers having loans,account,chart,49
734,show branch wise max of emi amount,branch,summary,34
735,show average of loan amount for customers grouped by branch,customer,chart,59
736,total loan amount for customers who have accounts greater than 500000,account,chart,69
737,sum of account balance for customers having loans,account,chart,49
738,show branch wise sum of emi amount,branch,chart,34
739,show min of loan amount for customers grouped by branch,customer,chart,55
740,total loan amount for customers who have accounts greater than 1000000,account,chart,70
741,sum of account balance for customers having loans,account,chart,49
742,show branch wise count of emi amount,branch,chart,36
743,show max of loan amount for customers grouped by branch,customer,chart,55
744,total loan amount for customers who have accounts greater than 50000,account,chart,68
745,sum of account balance for customers having loans,account,chart,49
746,show branch wise average of emi amount,branch,chart,38
747,show sum of loan amount for customers grouped by branch,customer,chart,55
748,total loan amount for customers who have accounts greater than 100000,account,chart,69
749,sum of account balance for customers having loans,account,chart,49
750,show branch wise min of emi amount,branch,summary,34
751,show count of loan amount for customers grouped by branch,customer,chart,57
752,total loan amount for customers who have accounts greater than 200000,account,chart,69
753,sum of account balance for customers having loans,account,chart,49
754,show branch wise max of emi amount,branch,summary,34
755,show average of loan amount for customers grouped by branch,customer,chart,59
756,total loan amount for customers who have accounts greater than 500000,account,chart,69
757,sum of account balance for customers having loans,account,chart,49
758,show branch wise sum of emi amount,branch,chart,34
759,show min of loan amount for customers grouped by branch,customer,chart,55
760,total loan amount for customers who have accounts greater than 1000000,account,chart,70
761,sum of account balance for customers having loans,account,chart,49
762,show branch wise count of emi amount,branch,chart,36
763,show max of loan amount for customers grouped by branch,customer,chart,55
764,total loan amount for customers who have accounts greater than 50000,account,chart,68
765,sum of account balance for customers having loans,account,chart,49
766,show branch wise average of emi amount,branch,chart,38
767,show sum of loan amount for customers grouped by branch,customer,chart,55
768,total loan amount for customers who have accounts greater than 100000,account,chart,69
769,sum of account balance for customers having loans,account,chart,49
770,show branch wise min of emi amount,branch,summary,34
771,show count of loan amount for customers grouped by branch,customer,chart,57
772,total loan amount for customers who have accounts greater than 200000,account,chart,69
773,sum of account balance for customers having loans,account,chart,49
774,show branch wise max of emi amount,branch,summary,34
775,show average of loan amount for customers grouped by branch,customer,chart,59
776,total loan amount for customers who have accounts greater than 500000,account,chart,69
777,sum of account balance for customers having loans,account,chart,49
778,show branch wise sum of emi amount,branch,chart,34
779,show min of loan amount for customers grouped by branch,customer,chart,55
780,total loan amount for customers who have accounts greater than 1000000,account,chart,70
781,sum of account balance for customers having loans,account,chart,49
782,show branch wise count of emi amount,branch,chart,36
783,show max of loan amount for customers grouped by branch,customer,chart,55
784,show customers with total account balance greater than 50000 and loan amount greater than 50000,account,chart,95
785,show branch wise count of leads where loan status is closed,lead,chart,59
786,show average of loan amount for customers having tasks pending,customer,chart,62
787,show customers who have loans and also leads in pending status,lead,table,62
788,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
789,show customers with total account balance less than 100000 and loan amount less than 100000,account,chart,91
790,show branch wise count of leads where loan status is in-progress,lead,chart,64
791,show min of loan amount for customers having tasks pending,customer,table,58
792,show customers who have loans and also leads in approved status,lead,table,63
793,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
794,show customers with total account balance equal to 200000 and loan amount equal to 200000,account,chart,89
795,show branch wise count of leads where loan status is pending,lead,chart,60
796,show max of loan amount for customers having tasks pending,customer,table,58
797,show customers who have loans and also leads in rejected status,lead,table,63
798,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
799,show customers with total account balance not equal to 500000 and loan amount not equal to 500000,account,chart,97
800,show branch wise count of leads where loan status is approved,lead,chart,61
801,show sum of loan amount for customers having tasks pending,customer,chart,58
802,show customers who have loans and also leads in open status,lead,table,59
803,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
804,show customers with total account balance greater than 1000000 and loan amount greater than 1000000,account,chart,99
805,show branch wise count of leads where loan status is rejected,lead,chart,61
806,show count of loan amount for customers having tasks pending,customer,chart,60
807,show customers who have loans and also leads in closed status,lead,table,61
808,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
809,show customers with total account balance less than 50000 and loan amount less than 50000,account,chart,89
810,show branch wise count of leads where loan status is open,lead,chart,57
811,show average of loan amount for customers having tasks pending,customer,chart,62
812,show customers who have loans and also leads in in-progress status,lead,table,66
813,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
814,show customers with total account balance equal to 100000 and loan amount equal to 100000,account,chart,89
815,show branch wise count of leads where loan status is closed,lead,chart,59
816,show min of loan amount for customers having tasks pending,customer,table,58
817,show customers who have loans and also leads in pending status,lead,table,62
818,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
819,show customers with total account balance not equal to 200000 and loan amount not equal to 200000,account,chart,97
820,show branch wise count of leads where loan status is in-progress,lead,chart,64
821,show max of loan amount for customers having tasks pending,customer,table,58
822,show customers who have loans and also leads in approved status,lead,table,63
823,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
824,show customers with total account balance greater than 500000 and loan amount greater than 500000,account,chart,97
825,show branch wise count of leads where loan status is pending,lead,chart,60
826,show sum of loan amount for customers having tasks pending,customer,chart,58
827,show customers who have loans and also leads in rejected status,lead,table,63
828,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
829,show customers with total account balance less than 1000000 and loan amount less than 1000000,account,chart,93
830,show branch wise count of leads where loan status is approved,lead,chart,61
831,show count of loan amount for customers having tasks pending,customer,chart,60
832,show customers who have loans and also leads in open status,lead,table,59
833,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
834,show customers with total account balance equal to 50000 and loan amount equal to 50000,account,chart,87
835,show branch wise count of leads where loan status is rejected,lead,chart,61
836,show average of loan amount for customers having tasks pending,customer,chart,62
837,show customers who have loans and also leads in closed status,lead,table,61
838,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
839,show customers with total account balance not equal to 100000 and loan amount not equal to 100000,account,chart,97
840,show branch wise count of leads where loan status is open,lead,chart,57
841,show branch wise loan,loan,summary,21
842,show my branch loan with status closed,loan,table,38
843,list accounts in branch with balance equal to 200000,account,chart,52
844,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
845,show branch wise loan,loan,summary,21
846,show my branch loan with status in-progress,loan,table,43
847,list accounts in branch with balance not equal to 500000,account,chart,56
848,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
849,show branch wise loan,loan,summary,21
850,show my branch loan with status pending,loan,table,39
851,list accounts in branch with balance greater than 1000000,account,chart,57
852,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
853,show branch wise loan,loan,summary,21
854,show my branch loan with status approved,loan,table,40
855,list accounts in branch with balance less than 50000,account,chart,52
856,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
857,show branch wise loan,loan,summary,21
858,show my branch loan with status rejected,loan,table,40
859,list accounts in branch with balance equal to 100000,account,chart,52
860,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
861,show branch wise loan,loan,summary,21
862,show my branch loan with status open,loan,table,36
863,list accounts in branch with balance not equal to 200000,account,chart,56
864,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
865,show branch wise loan,loan,summary,21
866,show my branch loan with status closed,loan,table,38
867,list accounts in branch with balance greater than 500000,account,chart,56
868,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
869,show branch wise loan,loan,summary,21
870,show my branch loan with status in-progress,loan,table,43
871,list accounts in branch with balance less than 1000000,account,chart,54
872,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
873,show branch wise loan,loan,summary,21
874,show my branch loan with status pending,loan,table,39
875,list accounts in branch with balance equal to 50000,account,chart,51
876,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
877,show branch wise loan,loan,summary,21
878,show my branch loan with status approved,loan,table,40
879,list accounts in branch with balance not equal to 100000,account,chart,56
880,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
881,show branch wise loan,loan,summary,21
882,show my branch loan with status rejected,loan,table,40
883,list accounts in branch with balance greater than 200000,account,chart,56
884,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
885,show branch wise loan,loan,summary,21
886,show my branch loan with status open,loan,table,36
887,list accounts in branch with balance less than 500000,account,chart,53
888,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
889,show branch wise loan,loan,summary,21
890,show my branch loan with status closed,loan,table,38
891,list accounts in branch with balance equal to 1000000,account,chart,53
892,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
893,show branch wise loan,loan,summary,21
894,show my branch loan with status in-progress,loan,table,43
895,list accounts in branch with balance not equal to 50000,account,chart,55
896,"show branch performance summary: loan count, loan total, deposits total",loan,chart,71
897,show branch wise loan,loan,summary,21
898,show all lead,lead,table,13
899,show all lead yesterday,lead,table,23
900,show my lead with status in-progress,lead,table,36
901,list lead where priority is high,lead,table,32
902,show all lead,lead,table,13
903,show all lead last week,lead,table,23
904,show my lead with status pending,lead,table,32
905,list lead where priority is medium,lead,table,34
906,show all lead,lead,table,13
907,show all lead last month,lead,table,24
908,show my lead with status approved,lead,table,33
909,list lead where priority is low,lead,table,31
910,show all lead,lead,table,13
911,show all lead last 3 months,lead,table,27
912,show my lead with status rejected,lead,table,33
913,list lead where priority is high,lead,table,32
914,show all lead,lead,table,13
915,show all lead this quarter,lead,table,26
916,show my lead with status open,lead,table,29
917,list lead where priority is medium,lead,table,34
918,show all lead,lead,table,13
919,show all lead this year,lead,table,23
920,show my lead with status closed,lead,table,31
921,list lead where priority is low,lead,table,31
922,show all lead,lead,table,13
923,show all lead today,lead,table,19
924,show my lead with status in-progress,lead,table,36
925,list lead where priority is high,lead,table,32
926,show all lead,lead,table,13
927,show all lead yesterday,lead,table,23
928,show my lead with status pending,lead,table,32
929,list lead where priority is medium,lead,table,34
930,show all lead,lead,table,13
931,show all lead last week,lead,table,23
932,show my lead with status approved,lead,table,33
933,list lead where priority is low,lead,table,31
934,show all lead,lead,table,13
935,show all lead last month,lead,table,24
936,show my lead with status rejected,lead,table,33
937,list lead where priority is high,lead,table,32
938,show all lead,lead,table,13
939,show all lead last 3 months,lead,table,27
940,show my lead with status open,lead,table,29
941,list lead where priority is medium,lead,table,34
942,show all lead,lead,table,13
943,show all lead this quarter,lead,table,26
944,show my lead with status closed,lead,table,31
945,list lead where priority is low,lead,table,31
946,show all lead,lead,table,13
947,show all lead this year,lead,table,23
948,show my lead with status in-progress,lead,table,36
949,list lead where priority is high,lead,table,32
950,show all lead,lead,table,13
951,show all lead today,lead,table,19
952,show my lead with status pending,lead,table,32
953,list lead where priority is medium,lead,table,34
954,show all lead,lead,table,13
955,show top 10 lead where status is open,lead,table,37
956,show lead sorted by status desc,lead,table,31
957,filter lead where priority is equal to 200000,lead,table,45
958,show lead created last month,lead,table,28
959,show top 10 lead where status is closed,lead,table,39
960,show lead sorted by priority asc,lead,table,32
961,filter lead where created_date is not equal to 500000,lead,table,53
962,show lead created last 3 months,lead,table,31
963,show top 10 lead where status is in-progress,lead,table,44
964,show lead sorted by created_date desc,lead,table,37
965,filter lead where assigned_to is greater than 1000000,lead,table,53
966,show lead created this quarter,lead,table,30
967,show top 10 lead where status is pending,lead,table,40
968,show lead sorted by assigned_to asc,lead,table,35
969,filter lead where product is less than 50000,lead,table,44
970,show lead created this year,lead,table,27
971,show top 10 lead where status is approved,lead,table,41
972,show lead sorted by product desc,lead,table,32
973,filter lead where branch is equal to 100000,lead,table,43
974,show lead created today,lead,table,23
975,show top 10 lead where status is rejected,lead,table,41
976,show lead sorted by branch asc,lead,table,30
977,filter lead where name is not equal to 200000,lead,table,45
978,show lead created yesterday,lead,table,27
979,show top 10 lead where status is open,lead,table,37
980,show lead sorted by name desc,lead,table,29
981,filter lead where status is greater than 500000,lead,table,47
982,show lead created last week,lead,table,27
983,show top 10 lead where status is closed,lead,table,39
984,show lead sorted by status asc,lead,table,30
985,filter lead where priority is less than 1000000,lead,table,47
986,show lead created last month,lead,table,28
987,show top 10 lead where status is in-progress,lead,table,44
988,show lead sorted by priority desc,lead,table,33
989,filter lead where created_date is equal to 50000,lead,table,48
990,show lead created last 3 months,lead,table,31
991,show top 10 lead where status is pending,lead,table,40
992,show lead sorted by created_date asc,lead,table,36
993,filter lead where assigned_to is not equal to 100000,lead,table,52
994,show lead created this quarter,lead,table,30
995,show top 10 lead where status is approved,lead,table,41
996,show lead sorted by assigned_to desc,lead,table,36
997,filter lead where product is greater than 200000,lead,table,48
998,show lead created this year,lead,table,27
999,show top 10 lead where status is rejected,lead,table,41
1000,show lead sorted by product asc,lead,table,31
1001,filter lead where branch is less than 500000,lead,table,44
1002,show lead created today,lead,table,23
1003,show top 10 lead where status is open,lead,table,37
1004,show lead sorted by branch desc,lead,table,31
1005,filter lead where name is equal to 1000000,lead,table,42
1006,show lead created yesterday,lead,table,27
1007,show top 10 lead where status is closed,lead,table,39
1008,show lead sorted by name asc,lead,table,28
1009,filter lead where status is not equal to 50000,lead,table,46
1010,show lead created last week,lead,table,27
1011,show top 10 lead where status is in-progress,lead,table,44
1012,show lead with related account,lead,chart,30
1013,show lead where customer status is 100000,lead,table,41
1014,list lead and related loan filtered by in-progress,lead,table,50
1015,show lead with related customer,lead,table,31
1016,show lead where loan priority is 200000,lead,table,39
1017,list lead and related task filtered by pending,lead,table,46
1018,show lead with related loan,lead,table,27
1019,show lead where task created_date is 500000,lead,table,43
1020,list lead and related branch filtered by approved,lead,table,49
1021,show lead with related task,lead,table,27
1022,show lead where branch assigned_to is 1000000,lead,table,45
1023,list lead and related lead filtered by rejected,lead,table,47
1024,show lead with related branch,lead,table,29
1025,show lead where lead product is 50000,lead,table,37
1026,list lead and related account filtered by open,lead,chart,46
1027,show lead with related lead,lead,table,27
1028,show lead where account branch is 100000,lead,chart,40
1029,list lead and related customer filtered by closed,lead,table,49
1030,show lead with related account,lead,chart,30
1031,show lead where customer name is 200000,lead,table,39
1032,list lead and related loan filtered by in-progress,lead,table,50
1033,show lead with related customer,lead,table,31
1034,show lead where loan status is 500000,lead,table,37
1035,list lead and related task filtered by pending,lead,table,46
1036,show lead with related loan,lead,table,27
1037,show lead where task priority is 1000000,lead,table,40
1038,list lead and related branch filtered by approved,lead,table,49
1039,show lead with related task,lead,table,27
1040,show lead where branch created_date is 50000,lead,table,44
1041,list lead and related lead filtered by rejected,lead,table,47
1042,show lead with related branch,lead,table,29
1043,show lead where lead assigned_to is 100000,lead,table,42
1044,list lead and related account filtered by open,lead,chart,46
1045,show lead with related lead,lead,table,27
1046,show lead where account product is 200000,lead,chart,41
1047,list lead and related customer filtered by closed,lead,table,49
1048,show lead with related account,lead,chart,30
1049,show lead where customer branch is 500000,lead,table,41
1050,list lead and related loan filtered by in-progress,lead,table,50
1051,show lead with related customer,lead,table,31
1052,show lead where loan name is 1000000,lead,table,36
1053,list lead and related task filtered by pending,lead,table,46
1054,show lead with related loan,lead,table,27
1055,show lead where task status is 50000,lead,table,36
1056,list lead and related branch filtered by approved,lead,table,49
1057,show lead with related task,lead,table,27
1058,show lead where branch priority is 100000,lead,table,41
1059,list lead and related lead filtered by rejected,lead,table,47
1060,show lead with related branch,lead,table,29
1061,show lead where lead created_date is 200000,lead,table,43
1062,list lead and related account filtered by open,lead,chart,46
1063,show lead with related lead,lead,table,27
1064,show lead where account assigned_to is 500000,lead,chart,45
1065,list lead and related customer filtered by closed,lead,table,49
1066,show lead with related account,lead,chart,30
1067,show lead where customer product is 1000000,lead,table,43
1068,list lead and related loan filtered by in-progress,lead,table,50
1069,show sum of amount in lead,lead,chart,26
1070,show count of balance for lead yesterday,lead,chart,40
1071,calculate total loan_amount across all lead,lead,chart,43
1072,show lead grouped by customer_type with min of emi_amount,lead,chart,57
1073,show count of balance in lead,lead,chart,29
1074,show average of loan_amount for lead last week,lead,chart,46
1075,calculate total emi_amount across all lead,lead,chart,42
1076,show lead grouped by status with max of premium_amount,lead,chart,54
1077,show average of loan_amount in lead,lead,chart,35
1078,show min of emi_amount for lead last month,lead,table,42
1079,calculate total premium_amount across all lead,lead,chart,46
1080,show lead grouped by branch with sum of amount,lead,chart,46
1081,show min of emi_amount in lead,lead,table,30
1082,show max of premium_amount for lead last 3 months,lead,table,49
1083,calculate total amount across all lead,lead,chart,38
1084,show lead grouped by manager with count of balance,lead,chart,50
1085,show max of premium_amount in lead,lead,table,34
1086,show sum of amount for lead this quarter,lead,chart,40
1087,calculate total balance across all lead,lead,chart,39
1088,show lead grouped by product with average of loan_amount,lead,chart,56
1089,show sum of amount in lead,lead,chart,26
1090,show count of balance for lead this year,lead,chart,40
1091,calculate total loan_amount across all lead,lead,chart,43
1092,show lead grouped by customer_type with min of emi_amount,lead,chart,57
1093,show count of balance in lead,lead,chart,29
1094,show average of loan_amount for lead today,lead,chart,42
1095,calculate total emi_amount across all lead,lead,chart,42
1096,show lead grouped by status with max of premium_amount,lead,chart,54
1097,show average of loan_amount in lead,lead,chart,35
1098,show min of emi_amount for lead yesterday,lead,table,41
1099,calculate total premium_amount across all lead,lead,chart,46
1100,show lead grouped by branch with sum of amount,lead,chart,46
1101,show min of emi_amount in lead,lead,table,30
1102,show max of premium_amount for lead last week,lead,table,45
1103,calculate total amount across all lead,lead,chart,38
1104,show lead grouped by manager with count of balance,lead,chart,50
1105,show max of premium_amount in lead,lead,table,34
1106,show sum of amount for lead last month,lead,chart,38
1107,calculate total balance across all lead,lead,chart,39
1108,show lead grouped by product with average of loan_amount,lead,chart,56
1109,show sum of amount in lead,lead,chart,26
1110,show count of balance for lead last 3 months,lead,chart,44
1111,calculate total loan_amount across all lead,lead,chart,43
1112,show lead grouped by customer_type with min of emi_amount,lead,chart,57
1113,show count of balance in lead,lead,chart,29
1114,show average of loan_amount for lead this quarter,lead,chart,49
1115,calculate total emi_amount across all lead,lead,chart,42
1116,show lead grouped by status with max of premium_amount,lead,chart,54
1117,show average of loan_amount in lead,lead,chart,35
1118,show min of emi_amount for lead this year,lead,table,41
1119,calculate total premium_amount across all lead,lead,chart,46
1120,show lead grouped by branch with sum of amount,lead,chart,46
1121,show min of emi_amount in lead,lead,table,30
1122,show max of premium_amount for lead today,lead,table,41
1123,calculate total amount across all lead,lead,chart,38
1124,show lead grouped by manager with count of balance,lead,chart,50
1125,show max of premium_amount in lead,lead,table,34
1126,show overdue tasks related to lead,lead,table,34
1127,list tasks for lead assigned to me,lead,table,34
1128,tasks last week for lead with status in-progress,lead,table,48
1129,show overdue tasks related to lead,lead,table,34
1130,list tasks for lead assigned to me,lead,table,34
1131,tasks last month for lead with status pending,lead,table,45
1132,show overdue tasks related to lead,lead,table,34
1133,list tasks for lead assigned to me,lead,table,34
1134,tasks last 3 months for lead with status approved,lead,table,49
1135,show overdue tasks related to lead,lead,table,34
1136,list tasks for lead assigned to me,lead,table,34
1137,tasks this quarter for lead with status rejected,lead,table,48
1138,show overdue tasks related to lead,lead,table,34
1139,list tasks for lead assigned to me,lead,table,34
1140,tasks this year for lead with status open,lead,table,41
1141,show overdue tasks related to lead,lead,table,34
1142,list tasks for lead assigned to me,lead,table,34
1143,tasks today for lead with status closed,lead,table,39
1144,show overdue tasks related to lead,lead,table,34
1145,list tasks for lead assigned to me,lead,table,34
1146,tasks yesterday for lead with status in-progress,lead,table,48
1147,show overdue tasks related to lead,lead,table,34
1148,list tasks for lead assigned to me,lead,table,34
1149,tasks last week for lead with status pending,lead,table,44
1150,show overdue tasks related to lead,lead,table,34
1151,list tasks for lead assigned to me,lead,table,34
1152,tasks last month for lead with status approved,lead,table,46
1153,show overdue tasks related to lead,lead,table,34
1154,list tasks for lead assigned to me,lead,table,34
1155,tasks last 3 months for lead with status rejected,lead,table,49
1156,show overdue tasks related to lead,lead,table,34
1157,list tasks for lead assigned to me,lead,table,34
1158,tasks this quarter for lead with status open,lead,table,44
1159,show overdue tasks related to lead,lead,table,34
1160,list tasks for lead assigned to me,lead,table,34
1161,tasks this year for lead with status closed,lead,table,43
1162,show overdue tasks related to lead,lead,table,34
1163,list tasks for lead assigned to me,lead,table,34
1164,tasks today for lead with status in-progress,lead,table,44
1165,show overdue tasks related to lead,lead,table,34
1166,list tasks for lead assigned to me,lead,table,34
1167,tasks yesterday for lead with status pending,lead,table,44
1168,show overdue tasks related to lead,lead,table,34
1169,list tasks for lead assigned to me,lead,table,34
1170,tasks last week for lead with status approved,lead,table,45
1171,show overdue tasks related to lead,lead,table,34
1172,list tasks for lead assigned to me,lead,table,34
1173,tasks last month for lead with status rejected,lead,table,46
1174,show overdue tasks related to lead,lead,table,34
1175,list tasks for lead assigned to me,lead,table,34
1176,tasks last 3 months for lead with status open,lead,table,45
1177,show overdue tasks related to lead,lead,table,34
1178,list tasks for lead assigned to me,lead,table,34
1179,tasks this quarter for lead with status closed,lead,table,46
1180,show overdue tasks related to lead,lead,table,34
1181,list tasks for lead assigned to me,lead,table,34
1182,tasks this year for lead with status in-progress,lead,table,48
1183,show month wise sum of lead,lead,chart,27
1184,daily breakup of lead for yesterday,lead,table,35
1185,show quarterly performance of leads by branch,lead,summary,45
1186,show month wise count of lead,lead,chart,29
1187,daily breakup of lead for last week,lead,table,35
1188,show quarterly performance of leads by branch,lead,summary,45
1189,show month wise average of lead,lead,chart,31
1190,daily breakup of lead for last month,lead,table,36
1191,show quarterly performance of leads by branch,lead,summary,45
1192,show month wise min of lead,lead,table,27
1193,daily breakup of lead for last 3 months,lead,table,39
1194,show quarterly performance of leads by branch,lead,summary,45
1195,show month wise max of lead,lead,table,27
1196,daily breakup of lead for this quarter,lead,table,38
1197,show quarterly performance of leads by branch,lead,summary,45
1198,show month wise sum of lead,lead,chart,27
1199,daily breakup of lead for this year,lead,table,35
1200,show quarterly performance of leads by branch,lead,summary,45
1201,show month wise count of lead,lead,chart,29
1202,daily breakup of lead for today,lead,table,31
1203,show quarterly performance of leads by branch,lead,summary,45
1204,show month wise average of lead,lead,chart,31
1205,daily breakup of lead for yesterday,lead,table,35
1206,show quarterly performance of leads by branch,lead,summary,45
1207,show month wise min of lead,lead,table,27
1208,daily breakup of lead for last week,lead,table,35
1209,show quarterly performance of leads by branch,lead,summary,45
1210,show month wise max of lead,lead,table,27
1211,daily breakup of lead for last month,lead,table,36
1212,show quarterly performance of leads by branch,lead,summary,45
1213,show month wise sum of lead,lead,chart,27
1214,daily breakup of lead for last 3 months,lead,table,39
1215,show quarterly performance of leads by branch,lead,summary,45
1216,show month wise count of lead,lead,chart,29
1217,daily breakup of lead for this quarter,lead,table,38
1218,show quarterly performance of leads by branch,lead,summary,45
1219,show month wise average of lead,lead,chart,31
1220,daily breakup of lead for this year,lead,table,35
1221,show quarterly performance of leads by branch,lead,summary,45
1222,show month wise min of lead,lead,table,27
1223,daily breakup of lead for today,lead,table,31
1224,show quarterly performance of leads by branch,lead,summary,45
1225,show month wise max of lead,lead,table,27
1226,daily breakup of lead for yesterday,lead,table,35
1227,show quarterly performance of leads by branch,lead,summary,45
1228,show month wise sum of lead,lead,chart,27
1229,daily breakup of lead for last week,lead,table,35
1230,show quarterly performance of leads by branch,lead,summary,45
1231,show month wise count of lead,lead,chart,29
1232,daily breakup of lead for last month,lead,table,36
1233,show quarterly performance of leads by branch,lead,summary,45
1234,show month wise average of lead,lead,chart,31
1235,daily breakup of lead for last 3 months,lead,table,39
